sentence_id	dependent_id	dependent	dep_lemma	UPOS	XPOS	head_id	dependency_type	dependency_distance	dd_abs
18	8	和	和	CCONJ	CC	9	cc	1	1
18	9	改良	改良	NOUN	NN	7	conj	-2	2
18	10	，	，	PUNCT	,	7	punct	-3	3
18	11	必	必	AUX	MD	12	aux	1	1
18	12	先	先	VERB	VV	0	root	-12	12
18	13	于	于	VERB	VV	12	mark	-1	1
18	14	只	只	ADV	RB	15	advmod	1	1
18	15	提供	提供	VERB	VV	12	xcomp	-3	3
18	16	奢侈	奢侈	ADJ	JJ	17	compound	1	1
18	17	品	品	PART	SFN	22	nmod	5	5
18	18	和	和	CCONJ	CC	20	cc	2	2
18	19	便利	便利	ADJ	JJ	20	compound	1	1
18	20	品	品	PART	SFN	17	conj	-3	3
18	21	的	的	PART	DEC	17	case	-4	4
18	22	都市	都市	NOUN	NN	24	nmod	2	2
18	23	的	的	PART	DEC	22	case	-1	1
18	24	增加	增加	NOUN	NN	15	obj	-9	9
18	25	。	。	PUNCT	.	12	punct	-13	13
EOS
19	1	乡村	乡村	NOUN	NN	2	nmod	1	1
19	2	居民	居民	NOUN	NN	12	nsubj	10	10
19	3	须	须	AUX	MD	5	aux	2	2
19	4	先	先	ADV	RB	5	mark	1	1
19	5	维持	维持	VERB	VV	12	advcl	7	7
19	6	自己	自己	PRON	PRD	5	obj	-1	1
19	7	，	，	PUNCT	,	5	punct	-2	2
19	8	才	才	ADV	RB	12	mark	4	4
19	9	只	只	ADV	RB	12	advmod	3	3
19	10	剩余	剩余	VERB	VV	12	advcl	2	2
19	11	产物	产物	NOUN	NN	10	obj	-1	1
19	12	维持	维持	VERB	VV	0	root	-12	12
19	13	都市	都市	NOUN	NN	15	nmod	2	2
19	14	的	的	PART	DEC	13	case	-1	1
19	15	居民	居民	NOUN	NN	12	obj	-3	3
19	16	。	。	PUNCT	.	12	punct	-4	4
EOS
20	1	所以	所以	ADV	RB	14	mark	13	13
20	2	，	，	PUNCT	,	1	punct	-1	1
20	3	要	要	AUX	MD	5	aux	2	2
20	4	先	先	ADV	RB	5	advmod	1	1
20	5	增加	增加	VERB	VV	14	advcl	9	9
20	6	农村	农村	NOUN	NN	7	nmod	1	1
20	7	产物	产物	NOUN	NN	9	nmod	2	2
20	8	的	的	PART	DEC	7	case	-1	1
20	9	剩余	剩余	NOUN	NN	5	obj	-4	4
20	10	，	，	PUNCT	,	5	punct	-5	5
20	11	才	才	ADV	RB	14	mark	3	3
20	12	谈得	谈得	VERB	VV	14	advcl	2	2
20	13	上	上	ADP	IN	12	mark	-1	1
20	14	增设	增设	VERB	VV	0	root	-14	14
20	15	都市	都市	NOUN	NN	14	obj	-1	1
20	16	。	。	PUNCT	.	14	punct	-2	2
EOS
